Count,Date,Time,Lat,Long,Speed,Altitude,GSR
261,25/5/2018,15:03:42,51.525398,-0.129878,4.57,38.5,577
262,25/5/2018,15:03:42,51.525398,-0.129878,4.57,38.6,575
263,25/5/2018,15:03:43,51.525402,-0.129868,3.28,38.6,575
264,25/5/2018,15:03:44,51.525394,-0.129853,3.07,38.6,576
265,25/5/2018,15:03:44,51.525394,-0.129853,3.07,38.7,574
266,25/5/2018,15:03:45,51.525406,-0.129846,3.2,38.7,574
267,25/5/2018,15:03:46,51.52541,-0.129837,3.67,38.7,579
268,25/5/2018,15:03:46,51.52541,-0.129837,3.67,37.9,579
269,25/5/2018,15:03:47,51.525414,-0.129828,3.56,37.9,578
270,25/5/2018,15:03:48,51.525421,-0.129812,1.91,37.9,578
271,25/5/2018,15:03:48,51.525421,-0.129812,1.91,39.6,577
272,25/5/2018,15:03:49,51.525429,-0.129802,3.54,39.6,573
273,25/5/2018,15:03:50,51.52544,-0.129797,3.37,39.6,576
274,25/5/2018,15:03:50,51.52544,-0.129797,3.37,39.2,576
275,25/5/2018,15:03:51,51.525444,-0.129781,3.13,39.2,574
276,25/5/2018,15:03:52,51.525452,-0.129768,3.02,39.2,574
277,25/5/2018,15:03:52,51.525452,-0.129768,3.02,41.9,575
278,25/5/2018,15:03:53,51.525455,-0.129753,4.19,41.9,573
279,25/5/2018,15:03:54,51.525459,-0.12974,2.67,41.9,576
280,25/5/2018,15:03:54,51.525459,-0.12974,2.67,43.2,575
281,25/5/2018,15:03:55,51.525452,-0.129744,2.41,43.2,575
282,25/5/2018,15:03:56,51.525455,-0.129725,2.96,43.2,576
283,25/5/2018,15:03:56,51.525455,-0.129725,2.96,42.7,576
284,25/5/2018,15:03:57,51.525459,-0.129717,2.63,42.7,573
285,25/5/2018,15:03:58,51.525455,-0.12972,2.59,42.7,576
286,25/5/2018,15:03:58,51.525455,-0.12972,2.59,41.3,576
287,25/5/2018,15:03:59,51.525455,-0.129718,2.57,41.3,575
288,25/5/2018,15:04:00,51.525448,-0.129729,0.87,41.3,576
289,25/5/2018,15:04:00,51.525448,-0.129729,0.87,38.2,573
290,25/5/2018,15:04:01,51.525436,-0.129743,0.74,38.2,573
291,25/5/2018,15:04:02,51.525433,-0.129742,2.41,38.2,574
292,25/5/2018,15:04:02,51.525433,-0.129742,2.41,37.3,574
293,25/5/2018,15:04:03,51.525436,-0.129734,1.3,37.3,573
294,25/5/2018,15:04:04,51.52544,-0.12972,4.02,37.3,575
295,25/5/2018,15:04:05,51.525444,-0.129693,1.46,37.3,572
296,25/5/2018,15:04:06,51.525452,-0.129683,2.02,37.3,576
297,25/5/2018,15:04:06,51.525452,-0.129683,2.02,39.9,576
298,25/5/2018,15:04:07,51.525448,-0.129672,1.85,39.9,575
299,25/5/2018,15:04:08,51.525459,-0.129665,2.3,39.9,576
300,25/5/2018,15:04:08,51.525459,-0.129665,2.3,40.6,573
301,25/5/2018,15:04:09,51.525471,-0.129634,2.54,40.6,573
302,25/5/2018,15:04:10,51.525482,-0.12963,0.44,40.6,575
303,25/5/2018,15:04:10,51.525482,-0.12963,0.44,43.5,567
304,25/5/2018,15:04:11,51.525486,-0.129626,1.44,43.5,570
305,25/5/2018,15:04:11,51.525486,-0.129626,1.44,43.5,571
306,25/5/2018,15:04:12,51.525467,-0.129634,0.15,43.5,572
307,25/5/2018,15:04:13,51.525463,-0.12964,0.7,43.5,574
308,25/5/2018,15:04:14,51.525455,-0.129645,1.02,43.5,574
309,25/5/2018,15:04:14,51.525455,-0.129645,1.02,41.2,574
310,25/5/2018,15:04:15,51.525448,-0.129659,1.26,41.2,574
311,25/5/2018,15:04:16,51.525455,-0.129659,2.15,41.2,575
312,25/5/2018,15:04:16,51.525455,-0.129659,2.15,39.9,575
313,25/5/2018,15:04:17,51.525452,-0.129654,1.74,39.9,570
314,25/5/2018,15:04:17,51.525452,-0.129654,1.74,39.6,572
315,25/5/2018,15:04:18,51.525455,-0.12965,1.57,39.6,570
316,25/5/2018,15:04:18,51.525455,-0.12965,1.57,39.1,573
317,25/5/2018,15:04:19,51.525459,-0.129654,0.48,39.1,573
318,25/5/2018,15:04:19,51.525459,-0.129654,0.48,39.1,574
319,25/5/2018,15:04:20,51.525471,-0.129649,1.57,39.1,572
320,25/5/2018,15:04:20,51.525471,-0.129649,1.57,39.5,574
321,25/5/2018,15:04:21,51.525486,-0.129636,2.13,39.5,573
322,25/5/2018,15:04:22,51.525494,-0.129632,0.76,39.5,574
